EXP_INFO, , ,PID,804800, , , , ,"train.py --config ckpt/0501/07_base00_vx1000/config.yaml -c ckpt/0501/07_base00_vx1000/ -gpu 6,7 -bs 256 -vertex_x1000", , ,Checkpoint,ckpt/0501/07_base00_vx1000/, , ,Config,ckpt/0501/07_base00_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
57,0.00011392,0.32563,291.86685,292.19248,68.05,68.83,67.7,67.78,69.43,85.32,71.37,43.65,65.56,40.39,90.09,39.41,77.21,109.27,129.3,118.61,96.59,61.34,87.6,56.3,116.45,77.04,103.82,129.45,154.96,149.74,123.87,76.64,112.46,70.39,66.8,66.8,62.77,44.69,39.47,40.32,35.78,30.01,30.01,38.93,29.02,20.35,26.99,18.92
59,0.00011165,0.32406,290.52153,290.84559,67.81,68.77,67.41,67.43,69.31,83.31,69.28,42.73,64.02,39.49,87.69,38.2,74.65,106.7,126.62,115.37,93.48,60.57,84.91,55.64,116.86,77.69,103.09,128.73,159.65,146.3,121.2,75.36,110.2,69.24,67.34,67.34,61.27,43.58,40.09,39.36,36.49,28.75,28.75,35.7,26.04,20.6,24.26,19.22
61,0.00010943,0.32244,289.19035,289.51279,68.96,70.11,68.74,68.49,70.0,88.04,73.68,43.67,67.86,40.5,88.89,38.07,76.07,108.18,127.91,118.33,95.84,61.05,87.05,56.14,116.21,76.51,103.59,129.51,154.64,150.22,124.27,76.61,112.8,70.41,66.47,66.47,63.99,45.44,39.66,41.03,36.02,29.78,29.78,39.74,29.16,20.31,27.17,18.96
63,0.00010725,0.32144,288.38970,288.71114,66.44,67.99,66.22,65.85,67.63,83.96,69.35,43.68,63.88,40.36,90.39,39.97,77.34,109.66,129.61,120.01,97.33,62.02,88.45,57.06,116.22,74.9,103.11,130.25,155.92,150.53,123.87,77.42,112.33,71.15,65.44,65.44,62.2,44.26,38.83,40.19,35.41,29.68,29.68,38.41,28.6,20.38,26.79,19.27
65,0.00010512,0.31924,286.68945,287.00870,63.14,63.74,62.79,62.95,64.53,82.06,68.63,42.29,63.21,39.13,87.23,37.17,74.13,106.28,126.45,116.6,94.91,60.9,86.22,56.0,111.18,72.83,99.56,124.35,147.67,145.86,121.16,75.25,110.02,69.13,63.37,63.37,60.34,42.79,38.1,38.71,34.64,28.17,28.17,37.09,27.7,20.11,25.76,18.81
67,0.00010303,0.31787,285.72199,286.03986,62.0,63.32,61.7,61.5,63.37,80.33,66.79,42.07,61.55,38.81,86.73,35.05,73.54,106.34,126.86,116.84,94.97,60.75,86.5,55.95,111.94,70.5,99.08,125.82,152.4,146.57,121.47,74.99,110.46,68.89,65.67,65.67,61.34,43.11,39.73,38.96,36.0,27.43,27.43,36.41,26.95,20.05,25.2,18.74
69,0.00010098,0.31679,284.69335,285.01014,65.42,66.51,65.06,65.06,66.7,83.58,69.8,42.56,64.08,39.52,87.82,37.83,74.3,107.16,127.47,117.68,95.68,61.24,86.76,56.3,112.81,73.76,100.41,125.86,151.85,147.78,122.67,75.96,111.35,69.89,64.14,64.14,62.21,44.63,38.45,40.2,34.98,30.58,30.58,38.49,29.04,19.97,26.81,18.68
71,0.00009897,0.31538,283.90386,284.21924,69.37,71.86,69.56,68.43,69.0,94.23,79.72,47.77,72.33,44.15,86.12,35.22,72.71,105.49,126.4,116.93,95.26,61.12,86.41,56.1,116.88,75.87,101.77,130.07,162.14,154.34,128.11,78.07,115.63,71.57,66.07,66.07,63.09,44.8,39.72,40.38,36.03,27.71,27.71,38.99,29.21,21.1,27.07,19.68
73,0.00009700,0.31442,283.00753,283.32195,64.43,65.37,64.04,64.09,65.79,82.44,68.68,41.74,63.36,38.62,87.0,36.6,73.56,106.16,126.89,116.01,94.27,60.16,85.77,55.4,111.75,72.96,99.98,125.61,146.89,146.81,121.79,74.7,110.78,68.57,62.5,62.5,60.52,42.13,37.7,38.21,34.29,28.38,28.38,36.72,26.77,18.88,25.06,17.72
75,0.00009507,0.31309,282.08528,282.39837,65.71,66.47,65.37,65.46,66.98,82.75,68.91,42.09,63.6,38.96,88.81,39.9,75.56,107.67,127.82,116.74,94.68,60.58,86.16,55.76,113.76,74.74,101.1,126.94,152.68,147.67,122.28,75.3,111.11,69.15,64.09,64.09,60.99,43.02,37.75,38.98,34.32,32.39,32.39,38.01,28.18,19.95,26.28,18.61
